gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
A2M,2,vascular endothelial cell,+++++,VEC,VEC
AANAT,15,NA,++,ubiquitous,ubiquitous
AATF,26574,NA,++,ubiquitous,ubiquitous
ABAT,18,interneuron,+++++,scattered+ubiquitous,scattered+ubiquitous
ABAT,18,interneuron,+++++,scattered+ubiquitous,scattered+ubiquitous
ABAT,18,others,+++++,scattered+ubiquitous,scattered+ubiquitous
ABAT,18,others,+++++,scattered+ubiquitous,scattered+ubiquitous
ABCD1,215,NA,++,scattered+ubiquitous,scattered+ubiquitous
ACAN,176,NA,+,sparse to none,sparse to none
ASIC2,40,NA,++,scattered+ubiquitous,scattered+ubiquitous
ACE,1636,NA,+,sparse to none,sparse to none
ACHE,43,NA,++++,"ubiquitous(3,4,5/6)","ubiquitous(3,5,6)"
ACTB,60,NA,+++++,ubiquitous,ubiquitous
ACTN2,88,NA,+++,"layer 2/3,4C,5/6","layer 2/3,5,6"
ADAM23,8745,NA,+++++,"ubiquitous(2/3,6)",ubiquitous(3)
ADAMTS8,11095,NA,++,scattered+ubiquitous,scattered+ubiquitous
ADAMTSL5,339366,NA,+,ubiquitous,ubiquitous
ADCY1,107,NA,+++,ubiquitous(6),ubiquitous
ADCY2,108,NA,+++,ubiquitous(6),ubiquitous
ADCYAP1,116,NA,++,"scattered(2/3,6?)","scattered(2/3,6?)"
ADM,133,interneuron,++++,sparse,sparse
ADM,133,interneuron,++++,sparse,sparse
ADM,133,vascular endothelial cell,++++,sparse,sparse
ADM,133,vascular endothelial cell,++++,sparse,sparse
ADORA1,134,NA,+++,"layer 2/3,4C,5/6",ubiquitous
ADORA2A,135,NA,++,ubiquitous,ubiquitous
ADORA3,140,NA,-,none,none
ADRA1A,148,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
ADRA1D,146,NA,+,ubiquitous,ubiquitous
ADRA2A,150,layer 6,+++,layer 6+,ubiquitous(6)
ADRA2B,151,NA,+,ubiquitous,ubiquitous
ADRB2,154,NA,+,ubiquitous,ubiquitous
